RKDN=2.87e-05   RKDX=8.25e-04   TENTR=1.37e-05   TENTRX=8.93e-05   VVX=-2.15e+01   RAUTEFR=2.65e-03   RAUTEFS=5.90e-03   RQICRMIN=2.24e-07   RQICRMAX=1.74e-05   RQLCR=3.68e-04   TFVI=1.87e-01   TFVL=1.79e-01   RACCEF=1.00e+00   RRIMEF=1.15e+00   RAGGEF=9.35e-01   REVASX=4.52e-07   RREVASXCS=6.02e-02   RSWINHF_LIQ=6.07e-01   RSWINHF_ICE=8.56e-01   RLWINHF_LIQ=9.65e-01   RLWINHF_ICE=5.93e-01   
RKDN=2.33e-05   RKDX=4.58e-04   TENTR=1.40e-05   TENTRX=1.45e-04   VVX=-3.86e+01   RAUTEFR=5.69e-03   RAUTEFS=5.32e-03   RQICRMIN=2.33e-07   RQICRMAX=4.60e-05   RQLCR=3.10e-04   TFVI=1.42e-01   TFVL=1.40e-01   RACCEF=1.18e+00   RRIMEF=6.48e-01   RAGGEF=9.64e-01   REVASX=8.89e-07   RREVASXCS=7.44e-02   RSWINHF_LIQ=6.24e-01   RSWINHF_ICE=7.46e-01   RLWINHF_LIQ=5.29e-01   RLWINHF_ICE=5.74e-01   
RKDN=5.00e-05   RKDX=1.42e-04   TENTR=1.85e-05   TENTRX=1.47e-04   VVX=-2.71e+01   RAUTEFR=7.47e-04   RAUTEFS=5.16e-03   RQICRMIN=2.13e-07   RQICRMAX=1.83e-05   RQLCR=8.79e-04   TFVI=2.47e-02   TFVL=2.47e-02   RACCEF=1.16e+00   RRIMEF=5.13e-01   RAGGEF=2.74e-01   REVASX=7.31e-07   RREVASXCS=9.15e-01   RSWINHF_LIQ=8.33e-01   RSWINHF_ICE=6.39e-01   RLWINHF_LIQ=6.50e-01   RLWINHF_ICE=9.42e-01   
RKDN=4.94e-05   RKDX=9.47e-04   TENTR=5.98e-06   TENTRX=4.53e-05   VVX=-4.92e+01   RAUTEFR=1.44e-03   RAUTEFS=4.29e-03   RQICRMIN=6.98e-08   RQICRMAX=2.89e-05   RQLCR=5.68e-04   TFVI=4.31e-02   TFVL=1.58e-02   RACCEF=9.37e-01   RRIMEF=1.71e+00   RAGGEF=1.22e+00   REVASX=3.04e-07   RREVASXCS=7.22e-01   RSWINHF_LIQ=7.86e-01   RSWINHF_ICE=5.52e-01   RLWINHF_LIQ=9.51e-01   RLWINHF_ICE=8.28e-01   
RKDN=4.06e-05   RKDX=1.57e-04   TENTR=1.17e-05   TENTRX=1.13e-04   VVX=-3.41e+01   RAUTEFR=2.25e-03   RAUTEFS=5.36e-03   RQICRMIN=2.35e-07   RQICRMAX=2.75e-05   RQLCR=5.86e-04   TFVI=4.59e-02   TFVL=1.56e-01   RACCEF=1.06e+00   RRIMEF=6.23e-01   RAGGEF=6.22e-01   REVASX=5.10e-07   RREVASXCS=1.07e-01   RSWINHF_LIQ=5.90e-01   RSWINHF_ICE=8.58e-01   RLWINHF_LIQ=8.06e-01   RLWINHF_ICE=8.31e-01   
RKDN=2.19e-05   RKDX=5.75e-05   TENTR=1.89e-05   TENTRX=1.29e-04   VVX=-2.15e+01   RAUTEFR=2.20e-03   RAUTEFS=6.00e-03   RQICRMIN=4.97e-08   RQICRMAX=2.08e-05   RQLCR=5.63e-04   TFVI=2.00e-01   TFVL=1.70e-01   RACCEF=1.02e+00   RRIMEF=7.91e-01   RAGGEF=1.39e+00   REVASX=3.92e-07   RREVASXCS=2.83e-01   RSWINHF_LIQ=5.71e-01   RSWINHF_ICE=6.54e-01   RLWINHF_LIQ=9.23e-01   RLWINHF_ICE=9.43e-01   
RKDN=2.04e-05   RKDX=6.05e-04   TENTR=1.90e-05   TENTRX=1.11e-04   VVX=-3.54e+01   RAUTEFR=8.07e-04   RAUTEFS=4.42e-03   RQICRMIN=1.22e-08   RQICRMAX=2.16e-05   RQLCR=9.90e-04   TFVI=4.48e-03   TFVL=1.61e-01   RACCEF=1.19e+00   RRIMEF=1.67e+00   RAGGEF=1.21e+00   REVASX=8.65e-07   RREVASXCS=5.49e-01   RSWINHF_LIQ=9.59e-01   RSWINHF_ICE=5.16e-01   RLWINHF_LIQ=5.50e-01   RLWINHF_ICE=9.51e-01   
RKDN=2.26e-05   RKDX=7.45e-04   TENTR=8.22e-06   TENTRX=1.22e-04   VVX=-3.91e+01   RAUTEFR=3.13e-03   RAUTEFS=5.80e-03   RQICRMIN=1.03e-08   RQICRMAX=1.95e-05   RQLCR=6.63e-04   TFVI=1.78e-02   TFVL=1.13e-01   RACCEF=1.27e+00   RRIMEF=1.28e+00   RAGGEF=9.80e-01   REVASX=9.30e-07   RREVASXCS=6.31e-01   RSWINHF_LIQ=7.00e-01   RSWINHF_ICE=8.96e-01   RLWINHF_LIQ=9.54e-01   RLWINHF_ICE=9.56e-01   
RKDN=2.91e-05   RKDX=6.18e-05   TENTR=1.48e-05   TENTRX=1.16e-04   VVX=-2.97e+01   RAUTEFR=1.62e-03   RAUTEFS=5.65e-03   RQICRMIN=1.65e-08   RQICRMAX=3.51e-05   RQLCR=2.20e-04   TFVI=8.60e-02   TFVL=4.15e-02   RACCEF=9.04e-01   RRIMEF=1.96e+00   RAGGEF=1.24e+00   REVASX=2.91e-07   RREVASXCS=3.36e-01   RSWINHF_LIQ=8.61e-01   RSWINHF_ICE=8.77e-01   RLWINHF_LIQ=8.47e-01   RLWINHF_ICE=7.72e-01   
RKDN=3.36e-05   RKDX=9.83e-04   TENTR=9.23e-06   TENTRX=8.48e-05   VVX=-2.66e+01   RAUTEFR=3.88e-03   RAUTEFS=2.32e-03   RQICRMIN=1.33e-07   RQICRMAX=3.79e-05   RQLCR=3.59e-04   TFVI=3.14e-03   TFVL=4.84e-02   RACCEF=1.15e+00   RRIMEF=5.60e-01   RAGGEF=1.05e+00   REVASX=9.86e-07   RREVASXCS=3.54e-01   RSWINHF_LIQ=6.63e-01   RSWINHF_ICE=8.52e-01   RLWINHF_LIQ=8.18e-01   RLWINHF_ICE=5.17e-01   
RKDN=3.48e-05   RKDX=1.33e-04   TENTR=5.50e-06   TENTRX=1.32e-04   VVX=-4.13e+01   RAUTEFR=8.80e-04   RAUTEFS=4.59e-03   RQICRMIN=2.70e-07   RQICRMAX=2.67e-05   RQLCR=7.82e-04   TFVI=1.57e-01   TFVL=1.35e-01   RACCEF=9.42e-01   RRIMEF=1.21e+00   RAGGEF=4.01e-01   REVASX=7.67e-07   RREVASXCS=9.94e-01   RSWINHF_LIQ=9.94e-01   RSWINHF_ICE=7.51e-01   RLWINHF_LIQ=9.85e-01   RLWINHF_ICE=8.07e-01   
RKDN=4.86e-05   RKDX=1.73e-04   TENTR=1.09e-05   TENTRX=1.35e-04   VVX=-4.82e+01   RAUTEFR=1.39e-03   RAUTEFS=4.60e-03   RQICRMIN=7.12e-08   RQICRMAX=3.96e-05   RQLCR=4.85e-04   TFVI=1.17e-01   TFVL=6.31e-02   RACCEF=1.32e+00   RRIMEF=1.70e+00   RAGGEF=8.54e-01   REVASX=4.94e-07   RREVASXCS=5.55e-01   RSWINHF_LIQ=7.51e-01   RSWINHF_ICE=6.70e-01   RLWINHF_LIQ=9.90e-01   RLWINHF_ICE=7.41e-01   
RKDN=4.22e-05   RKDX=1.26e-04   TENTR=1.90e-05   TENTRX=4.23e-05   VVX=-3.67e+01   RAUTEFR=5.75e-03   RAUTEFS=1.08e-03   RQICRMIN=6.08e-08   RQICRMAX=1.57e-05   RQLCR=2.89e-04   TFVI=1.84e-01   TFVL=8.75e-02   RACCEF=1.42e+00   RRIMEF=1.16e+00   RAGGEF=1.28e-01   REVASX=7.91e-07   RREVASXCS=9.24e-01   RSWINHF_LIQ=9.82e-01   RSWINHF_ICE=9.54e-01   RLWINHF_LIQ=7.65e-01   RLWINHF_ICE=5.06e-01   
RKDN=4.00e-05   RKDX=3.01e-04   TENTR=1.46e-05   TENTRX=8.79e-05   VVX=-4.56e+01   RAUTEFR=3.51e-03   RAUTEFS=1.21e-03   RQICRMIN=8.83e-08   RQICRMAX=3.62e-05   RQLCR=3.85e-04   TFVI=1.28e-01   TFVL=5.66e-02   RACCEF=1.50e+00   RRIMEF=8.43e-01   RAGGEF=1.07e+00   REVASX=3.06e-07   RREVASXCS=4.67e-01   RSWINHF_LIQ=9.19e-01   RSWINHF_ICE=6.91e-01   RLWINHF_LIQ=5.58e-01   RLWINHF_ICE=8.48e-01   
RKDN=4.87e-05   RKDX=1.99e-04   TENTR=7.59e-06   TENTRX=6.89e-05   VVX=-4.62e+01   RAUTEFR=4.10e-03   RAUTEFS=5.74e-03   RQICRMIN=1.69e-07   RQICRMAX=3.54e-05   RQLCR=4.37e-04   TFVI=3.66e-02   TFVL=2.51e-02   RACCEF=9.14e-01   RRIMEF=9.85e-01   RAGGEF=9.28e-01   REVASX=2.99e-07   RREVASXCS=4.20e-01   RSWINHF_LIQ=7.66e-01   RSWINHF_ICE=5.86e-01   RLWINHF_LIQ=9.99e-01   RLWINHF_ICE=7.00e-01   
RKDN=2.83e-05   RKDX=5.77e-04   TENTR=1.12e-05   TENTRX=9.80e-05   VVX=-2.81e+01   RAUTEFR=3.07e-03   RAUTEFS=2.44e-03   RQICRMIN=2.00e-08   RQICRMAX=1.65e-05   RQLCR=8.14e-04   TFVI=8.13e-02   TFVL=5.30e-02   RACCEF=7.47e-01   RRIMEF=9.77e-01   RAGGEF=6.74e-01   REVASX=8.21e-07   RREVASXCS=5.12e-01   RSWINHF_LIQ=5.79e-01   RSWINHF_ICE=7.60e-01   RLWINHF_LIQ=5.37e-01   RLWINHF_ICE=7.93e-01   
RKDN=4.91e-05   RKDX=6.69e-04   TENTR=6.70e-06   TENTRX=1.42e-04   VVX=-3.50e+01   RAUTEFR=1.82e-03   RAUTEFS=5.40e-03   RQICRMIN=1.67e-07   RQICRMAX=4.91e-05   RQLCR=8.53e-04   TFVI=3.93e-02   TFVL=2.33e-03   RACCEF=5.81e-01   RRIMEF=1.93e+00   RAGGEF=8.03e-01   REVASX=4.12e-07   RREVASXCS=9.37e-01   RSWINHF_LIQ=8.24e-01   RSWINHF_ICE=7.42e-01   RLWINHF_LIQ=7.21e-01   RLWINHF_ICE=8.40e-01   
RKDN=2.88e-05   RKDX=9.08e-04   TENTR=1.83e-05   TENTRX=9.42e-05   VVX=-2.98e+01   RAUTEFR=1.42e-03   RAUTEFS=5.14e-03   RQICRMIN=1.08e-07   RQICRMAX=4.60e-05   RQLCR=5.33e-04   TFVI=1.54e-02   TFVL=1.89e-01   RACCEF=5.48e-01   RRIMEF=5.69e-01   RAGGEF=1.47e+00   REVASX=7.96e-08   RREVASXCS=5.21e-01   RSWINHF_LIQ=8.04e-01   RSWINHF_ICE=9.88e-01   RLWINHF_LIQ=6.25e-01   RLWINHF_ICE=8.33e-01   
RKDN=2.68e-05   RKDX=5.63e-04   TENTR=1.92e-05   TENTRX=1.28e-04   VVX=-3.69e+01   RAUTEFR=1.48e-03   RAUTEFS=3.99e-03   RQICRMIN=2.39e-07   RQICRMAX=4.33e-05   RQLCR=2.56e-04   TFVI=1.75e-01   TFVL=3.42e-02   RACCEF=8.47e-01   RRIMEF=6.69e-01   RAGGEF=6.93e-01   REVASX=7.11e-07   RREVASXCS=3.13e-01   RSWINHF_LIQ=5.57e-01   RSWINHF_ICE=5.32e-01   RLWINHF_LIQ=9.62e-01   RLWINHF_ICE=7.78e-01   
RKDN=2.49e-05   RKDX=2.34e-04   TENTR=1.81e-05   TENTRX=4.65e-05   VVX=-3.76e+01   RAUTEFR=5.26e-03   RAUTEFS=5.95e-04   RQICRMIN=6.28e-08   RQICRMAX=4.82e-05   RQLCR=2.65e-04   TFVI=1.34e-01   TFVL=1.11e-01   RACCEF=6.04e-01   RRIMEF=1.40e+00   RAGGEF=6.34e-01   REVASX=5.19e-09   RREVASXCS=5.77e-01   RSWINHF_LIQ=9.55e-01   RSWINHF_ICE=6.50e-01   RLWINHF_LIQ=8.36e-01   RLWINHF_ICE=7.13e-01   
RKDN=3.35e-05   RKDX=3.92e-04   TENTR=9.39e-06   TENTRX=1.19e-04   VVX=-3.60e+01   RAUTEFR=5.87e-03   RAUTEFS=1.14e-03   RQICRMIN=1.62e-07   RQICRMAX=4.57e-05   RQLCR=5.96e-04   TFVI=6.01e-02   TFVL=6.44e-02   RACCEF=7.71e-01   RRIMEF=1.45e+00   RAGGEF=1.48e+00   REVASX=8.77e-07   RREVASXCS=5.18e-01   RSWINHF_LIQ=6.44e-01   RSWINHF_ICE=8.42e-01   RLWINHF_LIQ=5.54e-01   RLWINHF_ICE=8.18e-01   
RKDN=2.64e-05   RKDX=6.83e-04   TENTR=1.10e-05   TENTRX=1.37e-04   VVX=-3.04e+01   RAUTEFR=1.36e-03   RAUTEFS=2.85e-03   RQICRMIN=2.10e-07   RQICRMAX=2.20e-05   RQLCR=3.48e-04   TFVI=1.71e-01   TFVL=9.19e-02   RACCEF=9.78e-01   RRIMEF=1.55e+00   RAGGEF=9.53e-01   REVASX=5.25e-07   RREVASXCS=2.98e-01   RSWINHF_LIQ=8.59e-01   RSWINHF_ICE=9.62e-01   RLWINHF_LIQ=7.76e-01   RLWINHF_ICE=9.30e-01   
RKDN=2.14e-05   RKDX=6.20e-04   TENTR=6.74e-06   TENTRX=8.69e-05   VVX=-4.25e+01   RAUTEFR=5.21e-03   RAUTEFS=2.56e-03   RQICRMIN=1.81e-07   RQICRMAX=4.90e-05   RQLCR=3.94e-04   TFVI=8.60e-03   TFVL=7.94e-02   RACCEF=1.15e+00   RRIMEF=1.99e+00   RAGGEF=2.76e-01   REVASX=1.22e-08   RREVASXCS=7.69e-02   RSWINHF_LIQ=9.46e-01   RSWINHF_ICE=6.98e-01   RLWINHF_LIQ=7.25e-01   RLWINHF_ICE=6.16e-01   
RKDN=2.12e-05   RKDX=2.47e-04   TENTR=9.29e-06   TENTRX=5.88e-05   VVX=-3.28e+01   RAUTEFR=2.82e-03   RAUTEFS=4.15e-03   RQICRMIN=2.56e-07   RQICRMAX=3.77e-05   RQLCR=2.11e-04   TFVI=2.64e-02   TFVL=8.95e-02   RACCEF=1.33e+00   RRIMEF=1.09e+00   RAGGEF=7.38e-01   REVASX=4.06e-08   RREVASXCS=8.46e-01   RSWINHF_LIQ=9.05e-01   RSWINHF_ICE=6.27e-01   RLWINHF_LIQ=8.97e-01   RLWINHF_ICE=5.33e-01   
RKDN=3.76e-05   RKDX=3.37e-04   TENTR=7.03e-06   TENTRX=1.46e-04   VVX=-2.94e+01   RAUTEFR=2.26e-03   RAUTEFS=1.98e-03   RQICRMIN=2.74e-07   RQICRMAX=2.38e-05   RQLCR=5.54e-04   TFVI=2.70e-02   TFVL=1.72e-01   RACCEF=1.34e+00   RRIMEF=1.20e+00   RAGGEF=9.22e-01   REVASX=1.58e-07   RREVASXCS=5.03e-01   RSWINHF_LIQ=8.19e-01   RSWINHF_ICE=5.37e-01   RLWINHF_LIQ=9.34e-01   RLWINHF_ICE=6.44e-01   
RKDN=3.40e-05   RKDX=3.52e-04   TENTR=8.62e-06   TENTRX=8.55e-05   VVX=-4.29e+01   RAUTEFR=2.97e-03   RAUTEFS=1.83e-03   RQICRMIN=2.63e-08   RQICRMAX=2.12e-05   RQLCR=5.06e-04   TFVI=1.96e-01   TFVL=1.02e-01   RACCEF=1.07e+00   RRIMEF=1.18e+00   RAGGEF=7.88e-01   REVASX=9.26e-07   RREVASXCS=2.71e-01   RSWINHF_LIQ=6.68e-01   RSWINHF_ICE=7.95e-01   RLWINHF_LIQ=9.29e-01   RLWINHF_ICE=9.61e-01   
RKDN=4.28e-05   RKDX=7.70e-04   TENTR=4.11e-06   TENTRX=7.00e-05   VVX=-4.51e+01   RAUTEFR=4.84e-03   RAUTEFS=2.09e-03   RQICRMIN=1.46e-07   RQICRMAX=3.75e-05   RQLCR=1.85e-04   TFVI=9.27e-02   TFVL=5.50e-02   RACCEF=6.87e-01   RRIMEF=1.97e+00   RAGGEF=2.47e-01   REVASX=3.34e-07   RREVASXCS=3.28e-01   RSWINHF_LIQ=9.06e-01   RSWINHF_ICE=8.17e-01   RLWINHF_LIQ=6.73e-01   RLWINHF_ICE=5.46e-01   
RKDN=3.45e-05   RKDX=6.27e-04   TENTR=1.60e-05   TENTRX=1.30e-04   VVX=-3.47e+01   RAUTEFR=5.67e-03   RAUTEFS=3.07e-03   RQICRMIN=2.79e-07   RQICRMAX=3.87e-05   RQLCR=5.44e-04   TFVI=3.26e-02   TFVL=1.83e-01   RACCEF=8.76e-01   RRIMEF=1.32e+00   RAGGEF=7.32e-01   REVASX=1.20e-07   RREVASXCS=1.71e-02   RSWINHF_LIQ=9.44e-01   RSWINHF_ICE=6.31e-01   RLWINHF_LIQ=9.97e-01   RLWINHF_ICE=7.38e-01   
RKDN=2.31e-05   RKDX=7.61e-04   TENTR=8.41e-06   TENTRX=7.77e-05   VVX=-3.84e+01   RAUTEFR=4.54e-03   RAUTEFS=4.30e-03   RQICRMIN=1.05e-07   RQICRMAX=3.33e-05   RQLCR=3.19e-04   TFVI=1.30e-01   TFVL=1.50e-01   RACCEF=6.95e-01   RRIMEF=1.55e+00   RAGGEF=4.77e-01   REVASX=6.74e-07   RREVASXCS=1.26e-01   RSWINHF_LIQ=9.49e-01   RSWINHF_ICE=7.65e-01   RLWINHF_LIQ=6.30e-01   RLWINHF_ICE=9.95e-01   
RKDN=4.21e-05   RKDX=1.15e-04   TENTR=4.20e-06   TENTRX=8.07e-05   VVX=-2.49e+01   RAUTEFR=3.43e-03   RAUTEFS=2.20e-03   RQICRMIN=9.52e-08   RQICRMAX=4.65e-05   RQLCR=7.65e-04   TFVI=1.76e-01   TFVL=1.31e-01   RACCEF=1.47e+00   RRIMEF=5.21e-01   RAGGEF=8.78e-01   REVASX=9.91e-07   RREVASXCS=1.10e-01   RSWINHF_LIQ=5.27e-01   RSWINHF_ICE=6.76e-01   RLWINHF_LIQ=9.00e-01   RLWINHF_ICE=6.87e-01   
RKDN=4.19e-05   RKDX=8.20e-04   TENTR=1.48e-05   TENTRX=6.26e-05   VVX=-2.79e+01   RAUTEFR=5.31e-03   RAUTEFS=1.34e-03   RQICRMIN=2.90e-07   RQICRMAX=4.15e-05   RQLCR=4.11e-04   TFVI=1.36e-01   TFVL=3.20e-02   RACCEF=1.40e+00   RRIMEF=7.12e-01   RAGGEF=1.86e-01   REVASX=6.76e-07   RREVASXCS=7.61e-01   RSWINHF_LIQ=6.49e-01   RSWINHF_ICE=9.31e-01   RLWINHF_LIQ=8.09e-01   RLWINHF_ICE=5.69e-01   
RKDN=4.79e-05   RKDX=1.65e-04   TENTR=4.35e-06   TENTRX=1.02e-04   VVX=-3.73e+01   RAUTEFR=1.18e-03   RAUTEFS=1.26e-03   RQICRMIN=2.58e-07   RQICRMAX=3.35e-05   RQLCR=6.68e-04   TFVI=1.54e-01   TFVL=3.58e-02   RACCEF=1.49e+00   RRIMEF=1.72e+00   RAGGEF=8.48e-01   REVASX=8.52e-07   RREVASXCS=4.14e-01   RSWINHF_LIQ=8.28e-01   RSWINHF_ICE=8.39e-01   RLWINHF_LIQ=8.72e-01   RLWINHF_ICE=9.69e-01   
RKDN=2.70e-05   RKDX=2.67e-04   TENTR=1.98e-05   TENTRX=8.63e-05   VVX=-2.63e+01   RAUTEFR=1.53e-03   RAUTEFS=5.85e-03   RQICRMIN=2.83e-07   RQICRMAX=4.45e-05   RQLCR=1.39e-04   TFVI=1.80e-01   TFVL=1.35e-01   RACCEF=9.70e-01   RRIMEF=8.09e-01   RAGGEF=1.27e-01   REVASX=5.86e-07   RREVASXCS=4.36e-01   RSWINHF_LIQ=8.40e-01   RSWINHF_ICE=5.64e-01   RLWINHF_LIQ=9.89e-01   RLWINHF_ICE=6.59e-01   
RKDN=2.98e-05   RKDX=2.40e-04   TENTR=1.15e-05   TENTRX=9.09e-05   VVX=-3.56e+01   RAUTEFR=1.80e-03   RAUTEFS=1.05e-03   RQICRMIN=2.42e-07   RQICRMAX=4.75e-05   RQLCR=1.31e-04   TFVI=8.75e-02   TFVL=1.90e-01   RACCEF=6.22e-01   RRIMEF=1.30e+00   RAGGEF=7.58e-01   REVASX=6.56e-07   RREVASXCS=8.81e-01   RSWINHF_LIQ=6.82e-01   RSWINHF_ICE=8.34e-01   RLWINHF_LIQ=5.05e-01   RLWINHF_ICE=6.37e-01   
RKDN=4.42e-05   RKDX=3.32e-04   TENTR=1.38e-05   TENTRX=7.20e-05   VVX=-4.68e+01   RAUTEFR=5.32e-03   RAUTEFS=5.96e-03   RQICRMIN=8.26e-08   RQICRMAX=2.95e-05   RQLCR=6.07e-04   TFVI=8.63e-02   TFVL=5.75e-02   RACCEF=8.71e-01   RRIMEF=1.85e+00   RAGGEF=1.43e+00   REVASX=7.76e-07   RREVASXCS=8.65e-01   RSWINHF_LIQ=6.27e-01   RSWINHF_ICE=5.50e-01   RLWINHF_LIQ=7.38e-01   RLWINHF_ICE=6.90e-01   
RKDN=4.11e-05   RKDX=3.78e-04   TENTR=7.14e-06   TENTRX=1.20e-04   VVX=-4.49e+01   RAUTEFR=7.93e-04   RAUTEFS=2.82e-03   RQICRMIN=2.76e-07   RQICRMAX=1.77e-05   RQLCR=1.24e-04   TFVI=1.42e-01   TFVL=1.30e-02   RACCEF=1.22e+00   RRIMEF=1.24e+00   RAGGEF=2.67e-01   REVASX=6.67e-07   RREVASXCS=4.17e-01   RSWINHF_LIQ=7.18e-01   RSWINHF_ICE=6.52e-01   RLWINHF_LIQ=6.18e-01   RLWINHF_ICE=5.67e-01   
